Seq#,Standard,Sample_No,Original QC,Campaign,Drill Hole,Lab,Cert_No,Cert Date,Ag,Au,Cu,Pb,Zn
1,CDN-ME-16,CRD20-30-041,Standard,Unknown,CRD20-30,ALS,HE20284806 - Finalized,01/07/2021,31.6,1.405,6700,8310,7700
2,CDN-ME-16,CRD20-30-161,Standard,Unknown,CRD20-30,ALS,HE20284806 - Finalized,01/07/2021,86.4,0.976,2790,,4070
3,CDN-ME-16,CRD20-32-041,Standard,Unknown,CRD20-32,ALS,HE20275649 - Finalized,01/06/2021,85.9,1,2880,,4300
4,CDN-ME-16,CRD20-32-101,Standard,Unknown,CRD20-32,ALS,HE20275649 - Finalized,01/06/2021,87.4,1.085,2780,,4180
5,CDN-ME-16,CRD20-32-161,Standard,Unknown,CRD20-32,ALS,HE20275649 - Finalized,01/06/2021,83.6,1.135,2790,,4180
6,CDN-ME-16,CRD20-33-041,Standard,Unknown,CRD20-33,ALS,CH20289075 - Finalized,25/12/2020,31.1,1.585,6860,8300,7760
7,CDN-ME-16,CRD20-33-101,Standard,Unknown,CRD20-33,ALS,CH20289075 - Finalized,25/12/2020,33.9,1.475,7280,8890,8370
8,CDN-ME-16,CRD20-34-041,Standard,Unknown,CRD20-34,ALS,HE20289443 - Finalized,20/01/2021,33.6,1.39,7040,8600,7940
9,CDN-ME-16,CRD20-34-101,Standard,Unknown,CRD20-34,ALS,HE20289443 - Finalized,20/01/2021,32.4,1.445,7310,8870,8250
10,CDN-ME-16,CRD20-35-041,Standard,Unknown,CRD20-35,ALS,HE20287127 - Finalized,19/01/2021,31.4,1.45,6910,8410,7830
11,CDN-ME-16,CRD20-36-041,Standard,Unknown,CRD20-36,ALS,HE20290253 - Finalized,18/01/2021,31,1.35,6840,8290,7860
12,CDN-ME-16,CRD20-37-041,Standard,Unknown,CRD20-37,ALS,GU20292751 - Finalized,01/08/2021,31.8,1.455,7120,8860,8090
13,CDN-ME-16,CRD20-37-101,Standard,Unknown,CRD20-37,ALS,GU20292751 - Finalized,01/08/2021,32,1.31,6940,8700,7870
14,CDN-ME-16,CRD20-38-041,Standard,Unknown,CRD20-38,ALS,HE20294495 - Finalized,20/01/2021,30.2,1.475,6930,8770,7700
15,CDN-ME-16,CRD20-39-041,Standard,Unknown,CRD20-39,ALS,GU20297488 - Finalized,23/01/2021,32.7,1.665,7330,9130,8490
16,CDN-ME-16,CRD20-39-101,Standard,Unknown,CRD20-39,ALS,GU20297488 - Finalized,23/01/2021,30.3,1.45,6850,8500,7640
17,CDN-ME-16,CRD20-40-041,Standard,Unknown,CRD20-40,ALS,ZA20297693 - Finalized,24/01/2021,31.9,1.575,6950,8480,7860
18,CDN-ME-16,CRD20-40-101,Standard,Unknown,CRD20-40,ALS,ZA20297693 - Finalized,24/01/2021,31.1,1.63,7060,8470,8010
19,CDN-ME-16,CRD20-41-041,Standard,Unknown,CRD20-41,ALS,ZA20301737 - Finalized,25/01/2021,32.5,1.425,7140,8800,8220
20,CDN-ME-16,CRD20-41-101,Standard,Unknown,CRD20-41,ALS,ZA20301737 - Finalized,25/01/2021,33.7,1.55,7250,8880,7960
21,CDN-ME-16,CRD20-44-041,Standard,Unknown,CRD20-44,ALS,HE20299879 - Finalized,22/01/2021,32,1.455,7190,8850,7910
22,CDN-ME-16,CRD20-45-041,Standard,Unknown,CRD20-45,ALS,HE20299877 - Finalized,21/01/2021,30.1,1.44,7150,8660,7600
23,CDN-ME-16,CRD20-46-061,Standard,Unknown,CRD20-46,ALS,CH20300865 - Finalized,22/01/2021,31.4,1.43,6970,8740,7880
24,CDN-ME-16,CRD20-47-041,Standard,Unknown,CRD20-47,ALS,HE20301092 - Finalized,28/01/2021,30.3,1.465,6810,8100,7400
25,CDN-ME-16,CRD20-47-101,Standard,Unknown,CRD20-47,ALS,HE20301092 - Finalized,28/01/2021,29.9,1.445,6700,7940,7440
26,CDN-ME-16,CRD21-51-040,Standard,Unknown,CRD21-51,ALS,HE21033744 - Finalized,28/02/2021,31.7,1.46,6880,8810,8070